code,name,slot,venue,prof,prof_id
SP 697,Project -I,--,,Amit Kumar,amitkumar
RT 692,Project Phase - II,--,,"Meena Khwairakpam, Pankaj Kalita, Uppaluri Ramgopal V. S.,Sanjukta Patra, Siddhartha Singha, Sudip Mitra","meena.kh,pankajk,ramgopalu,sanjukta,siddharthafp,sudipmitra"
RT 520,Field Work and Communication,B,,"Meena Khwairakpam, Siddhartha Singha, Sudip Mitra","meena.kh,siddharthafp,sudipmitra"
RT 517,Agri-horticultural Produce Processing Technology,F,,Siddhartha Singha,siddharthafp
RT 514,Water Resources Management,C,,Meena Khwairakpam,meena.kh
RT 512,Livelihood and Entrepreneurship,D,,"Siddhartha Singha, Sudip Mitra","siddharthafp,sudipmitra"
RA 602,Control Engineering for Robotics,G1,,CPPC Secretary,cppcicps
RA 599,Project Phase - II,--,,CPPC Secretary,cppcicps
RA 506,Machine Learning,B,,Prithwijit Guha,pguha
RA 505,Robot Sensing and Vision,A,,"Arijit Sur, Rishikesh Dilip Kulkarni","arijit,rishi.k"
PH 708,Mini project,--,,Debasish Borah,dborah
PH 706,Gravitation and Cosmology,E1,,Debaprasad Maity,debu
PH 704,Guided and Fourier Wave Optics,D1,,Kanhaiya Pandey,kanhaiyapandey
PH 702,Statistical methods in Condensed Matter Physics,C1,,Subhradip Ghosh,subhra
PH 548,Atomistic Simulation Techniques,B1,,Padma K Padmanabhan,padmakumarp
PH 544,High Energy Physics,F1,,Poulose Poulose,poulose
PH 542,Phase Transitions and critical phenomena,D1,,Sitangshu Bikas Santra,santra
PH 534,Fiber Optics,G1,,Sunil K Khijwania,skhijwania
PH 527,Nanostructured Materials,C1,,Perumal Alagarsamy,perumal
PH 523,Magnetism and Superconductivity,A1,,Subhash Thota,subhasht
PH 518,Project-II,--,,D Pamu,pamu
PH 516,Advance Physics Laboratory,--,,"Bosanta R Boruah, Pravat Kumar Giri","brboruah,giri"
PH 466,Advanced Statistical Mechanics,D,,Pankaj Kumar Mishra,pankaj.mishra
PH 464,Fundamentals of cosmology,C,,Malay Kumar Nandy,mknandy
PH 463,Theory of relativity,A,,Bibhas Ranjan Majhi,bibhas.majhi
PH 462,Quantum Technology and Phenomena in Macroscopicsystems,B,,Tarak Nath Dey,tarak.dey
PH 458,Applied superconductivity,G,,Dilip Pal,dpal
PH 446,Fundamentals of Astrophysics,F,,Santabrata Das,sbdas
PH 441,Quantum Computation and Cryptography,F1,,Charudatt Y Kadolkar,charu
PH 422,Project-II,--,,Debaprasad Maity,debu
PH 412,General Physics Laboratory-I,--,,"Alika Khare, Charudatt Y Kadolkar","alika,charu"
PH 410,Electrodynamics-I,B,,Pratima Agarwal,pratima
PH 408,Measurement techniques,D,,Uday Narayan Maiti,udaymaiti
PH 406,Quantum Mechanics-II,C,,Soumitra Nandi,soumitra.nandi
PH 404,Statistical Mechanics,A,,Girish Sampath Setlur,gsetlur
PH 402,Mathematical Physics-II,G,,Sayan Chakrabarti,sayan.chakrabarti
PH 382M,Laser Physics,G1,,Gagan Kumar,gk
PH 312,Mini Project,--,,Debaprasad Maity,debu
PH 310,Advance Physics Laboratory,--,,"Debaprasad Maity, Subhash Thota","debu,subhasht"
PH 308,Nuclear science & technology,D1,,Udit Raha,udit.raha
PH 306,Lasers and Ultra Fast Optics,B1,,Ashwini Kumar Sharma,aksharma
PH 304,Measurement techniques,C1,,Pravat Kumar Giri,giri
PH 302,Solid state physics,A1,,Sovan Chakraborty,sovan
PH 282M,Engineering optics,F,,Bosanta R Boruah,brboruah
PH 210,General Physics Laboratory-I,--,,"Dilip Pal, Sitangshu Bikas Santra","dpal,santra"
PH 208,Digital electronics & microprocessors,D,,Debasish Borah,dborah
PH 206,Computational Physics,C,,Meduri C Kumar,mckumar
PH 204,Quantum Mechanics-I,B,,Saurabh Basu,saurabh
PH 202,Electromagnetics,A,,Alika Khare,alika
PH 110,Physics Laboratory,--,,"Arunansu Sil, Bipul Bhuyan, Kanhaiya Pandey, Padma KPadmanabhan, Subhaditya Bhattacharya","asil,bhuyan,kanhaiyapandey,padmakumarp,subhab"
PH 102,Physics 2,--,,"Ananthakrishnan Srinivasan, D Pamu, Sunil K Khijwania,Seenipandian Ravi","asrini,pamu,skhijwania,sravi"
PH 002,Preparatory Course,--,,Amarendra Kumar Sarma,aksarma
NT 705,Recent Advances in Nanotechnology,A1,,Arun Tej Mallajosyula,aruntej
ME 696,Biomedical Devices and Systems,F,,S. Kanagaraj,kanagaraj
ME 692,Gear Engineering,G,,S. Senthilvelan,ssvelan
ME 688,Advanced machining processes,A,,R. K. Mittal,rkmittal
ME 683,Computational Gas Dynamics,D,,Tapan Krishnakumar Mankodi,tapan.mankodi
ME 682,Nonlinear Finite Element Methods,F1,,Sachin S. Gautam,ssg
ME 670,Advanced Computational Fluid Dynamics,D,,Gavara Madhusudhana,gmadhu
ME 657,Two Phase Flow and Heat Transfer,B,,Manmohan Pandey,manmohan
ME 619,Fundamentals of Microfluidics,C,,Amaresh Dalal,amaresh
ME 615,Rotor Dynamics,D,,Rajiv Tiwari,rtiwari
ME 612,Nuclear Energy: Concepts and Applications,G,,Dipankar Narayan Basu,dnbasu
ME 607,Introduction to Composite Materials,C,,Debabrata Chakraborty,chakra
ME 605,Fracture Fatigue and Failure Analysis,E1,,K. S. R. Krishna Murthy,ksrkm
ME 554,Rocket Propulsion,E1,,Vinayak Kulkarni,vinayak
ME 553,Gas Dynamics,G,,Bhaskar Kumar,bhaskark
ME 552,Aircraft Propulsion,A,,Ujjwal K. Saha,saha
ME 544,Computational Mechanics Laboratory,--,,Bhaskar Kumar,bhaskark
