0,1,2,3,4,5,6,7,8,9,10,11
1,BT202M,Molecular Biotechnology,3,0,0,6,Minor,B. Tech 4th semester,G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Jaganathan B. G.
2,BT206,Microbiology,3,0,0,6,Compulsory,B. Tech 4th semester,D,07-05-2022(cid:10)(9:00 to 12:00),"Dr. Kumar Manish, Dr. Patra Sanjukta"
3,BT207,Genetic Engineering,3,0,0,6,Compulsory,B. Tech 4th semester,C,06-05-2022(cid:10)(9:00 to 12:00),"Dr. Patra Sanjukta, Dr. Kumar Sachin"
4,BT208,Transport Phenomenon in Bioprocesses,3,1,0,8,Compulsory,B. Tech 4th semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Selvaraju
5,BT209,Bioreaction Engineering,3,0,0,6,Compulsory,B. Tech 4th semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Maiti S. K.
6,BT211,Basic Biotechnology Lab,0,0,6,6,Compulsory,B. Tech 4th semester,,,Dr. Trivedi V.
7,BT305,Computational Biology,2,0,2,6,Compulsory,B. Tech 6th semester,A1,04-05-2022(cid:10)(14:00 to 17:00),Dr. Ramakrishnan V.
8,BT306,Bioseparation Engineering,3,0,2,8,Compulsory,B. Tech 6th semester,B1,05-05-2022(cid:10)(14:00 to 17:00),"Dr. Ramesh A., Dr. Goswami Pranab"
9,BT307,Biological Data Analysis,2,0,2,6,Compulsory,B. Tech 6th semester,C1,06-05-2022(cid:10)(14:00 to 17:00),Dr. Bose Biplab
10,BT308,Bioengineering,3,0,0,6,Compulsory,B. Tech 6th semester,D1,07-05-2022(cid:10)(14:00 to 17:00),"Dr. Goswami Pranab, Dr. Mandal B.B."
11,BT402,BTech Project-II,0,0,6,6,Compulsory,B. Tech 8th semester,,,"Dr. Arun Goyal, Dr. Rajkumar P Thummer"
12,BT403,Human Biology and Diseases,3,0,0,6,Dept. Elective,B. Tech 8th semester,C,06-05-2022(cid:10)(9:00 to 12:00),"Dr. Limaye A. M., Dr. Kumar Manish"
13,BT411,Metagenomics,3,0,0,6,Dept. Elective,B. Tech 8th semester,A,04-05-2022(cid:10)(9:00 to 12:00),Dr. Tamuli Ranjan
14,BT412,Enzymology,3,0,0,6,Dept. Elective,B. Tech 8th semester,D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Goyal Arun
15,BT416,Bioenvironmental Engineering,3,0,0,6,Dept. Elective,B. Tech 8th semester,E,08-05-2022(cid:10)(9:00 to 12:00),Dr. Das Debasish
16,BT420,Drug Design and Discovery,3,0,0,6,Dept. Elective,B. Tech 8th semester,B,05-05-2022(cid:10)(9:00 to 12:00),"Dr. Kanaujia S. P., Dr. Kumar Sachin"
17,BT502,Quantitative Biology,3,0,2,8,Compulsory,M. Tech. 2nd semester,A,04-05-2022(cid:10)(9:00 to 12:00),"Dr. Kanaujia S. P., Dr. Limaye A.M."
18,BT504,Biomolecular and Cellular Process Engineering,3,0,0,6,Compulsory,M. Tech. 2nd semester,B,05-05-2022(cid:10)(9:00 to 12:00),Dr. Sivaprakasam S.
19,BT520,Applied Biology and Bioengineering Lab,0,0,6,6,Compulsory,M. Tech. 2nd semester,,,Dr. Bora Utpal
20,BT601,Analytical Biotechnology,3,0,0,6,Dept. Elective,"B. Tech 6th semester, M. Tech. 2nd semester, PhD",F,09-05-2022(cid:10)(9:00 to 12:00),Dr. Ghosh S.S.
21,BT605,Gene Therapy,3,0,0,6,Dept. Elective,"M. Tech. 2nd semester, PhD",G1,10-05-2022(cid:10)(14:00 to 17:00),Dr. Nagotu Shirisha
22,BT608,Microbial Biotechnology,3,0,0,6,Dept. Elective,"B. Tech 6th semester, M. Tech. 2nd semester, PhD",G,10-05-2022(cid:10)(9:00 to 12:00),Dr. Kaur Gurvinder
23,BT609,Bioprocess Engineering,3,0,0,6,Dept. Elective,"M. Tech. 2nd semester, PhD",D,07-05-2022(cid:10)(9:00 to 12:00),Dr. Dasu V. V.
24,BT619,Essentials of Genetics (OPEN ELECTIVE),3,0,0,6,Open Elective,"B. Tech 6th semester, M. Tech. 2nd semester, PhD",F1,09-05-2022(cid:10)(14:00 to 17:00),Dr. Chaturvedi Rakhi
25,BT621,Advances in Plant Genetic Engineering and Functional Genomics,3,0,0,6,Dept. Elective,"M. Tech. 2nd semester, PhD",C,06-05-2022(cid:10)(9:00 to 12:00),Dr. Sahoo L.
