Roll no,Division,Tutorial,Lab,Location
230101001,I,T1,L1,5001
220104002,I,T1,L1,5001
220104003,I,T1,L1,5001
220104004,I,T1,L1,5001
220104005,I,T1,L1,5001
220104006,I,T2,L1,5002
220104007,I,T2,L1,5002
220104008,I,T2,L1,5002
220104009,I,T2,L1,5002
220104010,I,T3,L1,5003
220104011,I,T3,L1,5003
220104012,I,T3,L1,5003
220104013,I,T3,L1,5003
220104014,I,T4,L1,5004
220104015,I,T4,L1,5004
220104016,I,T4,L1,5004
220104017,I,T4,L1,5004
220104018,I,T5,L1,5005
220104019,I,T5,L1,5005
220104020,I,T5,L1,5005
220104021,I,T5,L1,5005
220104022,I,T6,L1,5006
220104023,I,T6,L1,5006
220104024,I,T6,L1,5006
220104025,I,T6,L1,5006
220104026,I,T6,L1,5006
220104027,I,T7,L1,5101
220104028,I,T7,L1,5101
220104029,I,T7,L1,5101
220104030,I,T7,L1,5101
220104031,I,T8,L1,5102
220104032,I,T8,L1,5102
220104033,I,T8,L1,5102
220104034,I,T8,L1,5102
220104035,I,T8,L1,5102
220104036,I,T9,L1,5103
220104037,I,T9,L1,5103
220104038,I,T9,L1,5103
220104039,I,T9,L1,5103
220104040,I,T9,L1,5103
220104041,I,T10,L1,5104
220104042,I,T10,L1,5104
220104043,I,T10,L1,5104
220104044,I,T10,L1,5104
220104045,I,T10,L1,5104
220104046,I,T10,L1,5104
220104047,I,T11,L1,5105
220104048,I,T11,L1,5105
220104049,I,T11,L1,5105
220104050,I,T11,L1,5105
220104051,I,T11,L1,5105
220104052,I,T12,L1,5106
220104053,I,T12,L1,5106
220104054,I,T12,L1,5106
220104055,I,T12,L1,5106
220104056,I,T12,L1,5106
220104057,I,T13,L1,5201
220104058,I,T13,L1,5201
220104059,I,T13,L1,5201
220104060,I,T13,L1,5201
220104061,I,T13,L1,5201
220104062,I,T14,L1,5202
220104063,I,T14,L1,5202
220104064,I,T14,L1,5202
220104065,I,T14,L1,5202
220104066,I,T14,L1,5202
220104067,I,T15,L1,5203
220104068,I,T15,L1,5203
220104069,I,T15,L1,5203
220104070,I,T15,L1,5203
220104071,I,T15,L1,5203
220104072,I,T15,L1,5203
220104073,I,T16,L1,5204
220104074,I,T16,L1,5204
220104075,I,T16,L1,5204
220104076,I,T16,L1,5204
220104077,I,T16,L1,5204
220104078,I,T16,L1,5204
220104079,I,T16,L1,5204
220104080,I,T16,L1,5204
220104081,I,T17,L1,5205
220104082,I,T17,L1,5205
220104083,I,T17,L1,5205
220104084,I,T17,L1,5205
220104085,I,T17,L1,5205
220104086,I,T17,L1,5205
220104087,I,T17,L1,5205
220104088,I,T17,L1,5205
220104089,I,T18,L1,5206
220104090,I,T18,L1,5206
220104091,I,T18,L1,5206
220104092,I,T18,L1,5206
220104093,I,T18,L1,5206
220104094,I,T18,L1,5206
220104095,I,T18,L1,5206
220104096,I,T18,L1,5206
220104097,I,T18,L1,5206
220104098,I,T19,L1,5G1
220104099,I,T19,L1,5G1
220104100,I,T19,L1,5G1
220104101,I,T19,L1,5G1
220104102,I,T19,L1,5G1
220104103,I,T19,L1,5G1
220104104,I,T19,L2,5G1
220104105,I,T19,L2,5G1
220104106,I,T19,L2,5G1
220104107,I,T19,L2,5G1
220104108,I,T19,L2,5G1
220104109,I,T19,L2,5G1
220104110,I,T19,L2,5G1
220104111,I,T19,L2,5G1
220104112,I,T20,L2,5G2
220104113,I,T20,L2,5G2
220104114,I,T20,L2,5G2
220104115,I,T20,L2,5G2
220104116,I,T20,L2,5G2
220103001,I,T1,L2,5001
220103002,I,T1,L2,5001
220103003,I,T1,L2,5001
220103004,I,T1,L2,5001
220103005,I,T1,L2,5001
220103006,I,T2,L2,5002
220103007,I,T2,L2,5002
220103008,I,T2,L2,5002
220103009,I,T2,L2,5002
220103010,I,T3,L2,5003
220103011,I,T3,L2,5003
220103012,I,T3,L2,5003
220103013,I,T3,L2,5003
220103014,I,T4,L2,5004
220103015,I,T4,L2,5004
220103016,I,T4,L2,5004
220103017,I,T4,L2,5004
220103018,I,T5,L2,5005
220103019,I,T5,L2,5005
220103020,I,T5,L2,5005
220103021,I,T5,L2,5005
220103022,I,T6,L2,5006
220103023,I,T6,L2,5006
220103024,I,T6,L2,5006
220103025,I,T6,L2,5006
220103026,I,T6,L2,5006
220103027,I,T7,L2,5101
220103028,I,T7,L2,5101
220103029,I,T7,L2,5101
220103030,I,T7,L2,5101
220103031,I,T8,L2,5102
220103032,I,T8,L2,5102
220103033,I,T8,L2,5102
220103034,I,T8,L2,5102
220103035,I,T8,L2,5102
220103036,I,T9,L2,5103
220103037,I,T9,L2,5103
220103038,I,T9,L2,5103
220103039,I,T9,L2,5103
220103040,I,T9,L2,5103
220103041,I,T10,L2,5104
220103042,I,T10,L2,5104
220103043,I,T10,L2,5104
220103044,I,T10,L2,5104
220103045,I,T10,L2,5104
220103046,I,T10,L2,5104
220103047,I,T11,L2,5105
220103048,I,T11,L2,5105
220103049,I,T11,L2,5105
220103050,I,T11,L2,5105
220103051,I,T11,L2,5105
220103052,I,T12,L2,5106
220103053,I,T12,L2,5106
220103054,I,T12,L2,5106
220103055,I,T12,L2,5106
220103056,I,T12,L2,5106
220103057,I,T13,L2,5201
220103058,I,T13,L2,5201
220103059,I,T13,L2,5201
220103060,I,T13,L2,5201
220103061,I,T13,L2,5201
220103062,I,T14,L2,5202
220103063,I,T14,L2,5202
220103064,I,T14,L2,5202
220103065,I,T14,L2,5202
220103066,I,T14,L2,5202
220103067,I,T15,L2,5203
220103068,I,T15,L2,5203
220103069,I,T15,L2,5203
220103070,I,T15,L2,5203
220103071,I,T15,L2,5203
220103072,I,T15,L2,5203
220103073,I,T16,L2,5204
220103074,I,T16,L2,5204
220103075,I,T16,L2,5204
220103076,I,T16,L2,5204
220103077,I,T16,L2,5204
220103078,I,T16,L2,5204
220103079,I,T16,L2,5204
220103080,I,T16,L2,5204
220103081,I,T17,L2,5205
220103082,I,T17,L2,5205
220103083,I,T17,L2,5205
220103084,I,T17,L2,5205
220103085,I,T17,L2,5205
220103086,I,T17,L2,5205
220103087,I,T17,L2,5205
220103088,I,T17,L2,5205
220103089,I,T18,L2,5206
220103090,I,T18,L2,5206
220151001,I,T1,L3,5001
220151002,I,T1,L3,5001
220151003,I,T1,L3,5001
220151004,I,T1,L3,5001
220151005,I,T2,L3,5002
220151006,I,T2,L3,5002
220151007,I,T2,L3,5002
220151008,I,T2,L3,5002
220151009,I,T2,L3,5002
220151010,I,T3,L3,5003
220151011,I,T3,L3,5003
220151012,I,T3,L3,5003
220151013,I,T3,L3,5003
220151014,I,T4,L3,5004
220151015,I,T4,L3,5004
220151016,I,T4,L3,5004
220151017,I,T4,L3,5004
220151018,I,T5,L3,5005
220151019,I,T5,L3,5005
220151020,I,T5,L3,5005
220103091,I,T18,L3,5206
