Roll no,Division,Tutorial,Lab,Location
240101001,III,T1,L6,
240101002,III,T1,L6,
240101004,III,T1,L6,
240101100,III,T1,L6,
240101102,III,T1,L6,
240101103,III,T1,L6,
240102001,II,T1,L1,
240102002,II,T1,L1,
240102003,II,T1,L1,
240102004,II,T1,L1,
240102100,II,T1,L1,
240102201,II,T1,L1,
240102202,II,T1,L1,
240102203,II,T1,L1,
240103001,I,T1,L1,
240103002,I,T1,L1,
240103003,I,T1,L1,
240103100,I,T1,L1,
240103101,I,T1,L1,
240103102,I,T1,L1,
240103103,I,T1,L1,
240104001,I,T1,L1,
240104002,I,T1,L1,
240104003,I,T1,L1,
240104100,I,T1,L1,
240104101,I,T1,L1,
240104102,I,T1,L1,
240104103,I,T1,L1,
240106001,II,T1,L1,
240106002,II,T1,L1,
240106003,II,T1,L1,
240107001,IV,T1,L6,
240107002,IV,T1,L6,
240107003,IV,T1,L6,
240121001,III,T1,L6,
240121002,III,T1,L6,
240121003,III,T1,L6,
240122001,IV,T1,L6,
240122002,IV,T1,L6,
240122003,IV,T1,L6,
240123001,III,T1,L6,
240123002,III,T1,L6,
240123003,III,T1,L6,
240150001,IV,T1,L6,
240150002,IV,T1,L6,
240150003,IV,T1,L6,
240151001,I,T1,L1,
240151002,I,T1,L1,
240151003,I,T1,L1,
240101006,III,T2,L6,
240101007,III,T2,L6,
240101105,III,T2,L6,
240101106,III,T2,L6,
240102005,II,T2,L1,
240102006,II,T2,L1,
240102007,II,T2,L1,
240102204,II,T2,L1,
240102205,II,T2,L1,
240102206,II,T2,L1,
240103004,I,T2,L1,
240103005,I,T2,L1,
240103006,I,T2,L1,
240103007,I,T2,L1,
240103104,I,T2,L1,
240103105,I,T2,L1,
240103106,I,T2,L1,
240104004,I,T2,L1,
240104005,I,T2,L1,
240104006,I,T2,L1,
240104007,I,T2,L1,
240104104,I,T2,L1,
240104105,I,T2,L1,
240104106,I,T2,L1,
240106004,II,T2,L1,
240106005,II,T2,L1,
240106006,II,T2,L1,
240106007,II,T2,L1,
240107004,IV,T2,L6,
240107005,IV,T2,L6,
240107006,IV,T2,L6,
240107007,IV,T2,L6,
240121004,III,T2,L6,
240121005,III,T2,L6,
240121006,III,T2,L6,
240121007,III,T2,L6,
240122004,IV,T2,L6,
240122005,IV,T2,L6,
240122006,IV,T2,L6,
240122007,IV,T2,L6,
240123004,III,T2,L6,
240123005,III,T2,L6,
240123006,III,T2,L6,
240150004,IV,T2,L6,
240150005,IV,T2,L6,
240150006,IV,T2,L6,
240151004,I,T2,L1,
240151005,I,T2,L1,
240151006,I,T2,L1,
240101008,III,T3,L6,
240101009,III,T3,L6,
240101010,III,T3,L6,
240101107,III,T3,L6,
240101108,III,T3,L6,
240101109,III,T3,L6,
240101110,III,T3,L6,
240102008,II,T3,L1,
240102009,II,T3,L1,
240102010,II,T3,L1,
240102207,II,T3,L1,
240102208,II,T3,L1,
240102209,II,T3,L1,
240103008,I,T3,L1,
240103009,I,T3,L1,
240103010,I,T3,L1,
240103107,I,T3,L1,
240103108,I,T3,L1,
240103109,I,T3,L1,
240104008,I,T3,L1,
240104009,I,T3,L1,
240104010,I,T3,L1,
240104107,I,T3,L1,
240104108,I,T3,L1,
240104109,I,T3,L1,
240106008,II,T3,L1,
240106009,II,T3,L1,
240106010,II,T3,L1,
240107008,IV,T3,L6,
240107009,IV,T3,L6,
240107010,IV,T3,L6,
240121008,III,T3,L6,
240121009,III,T3,L6,
240121010,III,T3,L6,
240122008,IV,T3,L6,
240122009,IV,T3,L6,
240122010,IV,T3,L6,
240123007,III,T3,L6,
240123008,III,T3,L6,
240123009,III,T3,L6,
240123010,III,T3,L6,
240150007,IV,T3,L6,
240150008,IV,T3,L6,
240150009,IV,T3,L6,
240150010,IV,T3,L6,
240151007,I,T3,L1,
240151008,I,T3,L1,
240151009,I,T3,L1,
240151010,I,T3,L1,
240101011,III,T4,L6,
240101012,III,T4,L6,
240101013,III,T4,L6,
240101014,III,T4,L7,
240101111,III,T4,L6,
240101112,III,T4,L6,
240101113,III,T4,L6,
240102011,II,T4,L1,
240102012,II,T4,L1,
240102013,II,T4,L1,
240102210,II,T4,L1,
240102211,II,T4,L1,
240102212,II,T4,L1,
240102213,II,T4,L1,
240103011,I,T4,L1,
240103012,I,T4,L1,
240103013,I,T4,L1,
240103110,I,T4,L1,
240103111,I,T4,L1,
240103112,I,T4,L1,
240103113,I,T4,L1,
240104011,I,T4,L1,
240104012,I,T4,L1,
240104013,I,T4,L1,
240104110,I,T4,L1,
240104111,I,T4,L1,
240104112,I,T4,L1,
240104113,I,T4,L2,
240106011,II,T4,L2,
240106012,II,T4,L2,
240106013,II,T4,L2,
240107011,IV,T4,L6,
240107012,IV,T4,L6,
240107013,IV,T4,L6,
240121011,III,T4,L6,
240121012,III,T4,L6,
240121013,III,T4,L6,
240122011,IV,T4,L6,
240122012,IV,T4,L6,
240122013,IV,T4,L6,
240123011,III,T4,L6,
240123012,III,T4,L6,
240123013,III,T4,L6,
240150011,IV,T4,L6,
240150012,IV,T4,L6,
240150013,IV,T4,L7,
240151011,I,T4,L2,
240151012,I,T4,L2,
240151013,I,T4,L2,
240101015,III,T5,L7,
240101016,III,T5,L7,
240101017,III,T5,L7,
240102014,II,T5,L2,
240102015,II,T5,L2,
240102016,II,T5,L2,
240102017,II,T5,L2,
240102214,II,T5,L2,
240102215,II,T5,L2,
240102216,II,T5,L2,
240103014,I,T5,L2,
240103015,I,T5,L2,
240103016,I,T5,L2,
240103017,I,T5,L2,
240103114,I,T5,L2,
240103115,I,T5,L2,
240103116,I,T5,L2,
240104014,I,T5,L2,
240104015,I,T5,L2,
240104016,I,T5,L2,
240104017,I,T5,L2,
240104114,I,T5,L2,
240104115,I,T5,L2,
240104116,I,T5,L2,
240106014,II,T5,L2,
240106015,II,T5,L2,
240106016,II,T5,L2,
240106017,II,T5,L2,
240107014,IV,T5,L7,
240107015,IV,T5,L7,
240107016,IV,T5,L7,
240107017,IV,T5,L7,
240121014,III,T5,L7,
240121015,III,T5,L7,
240121016,III,T5,L7,
240121017,III,T5,L7,
240122014,IV,T5,L7,
240122015,IV,T5,L7,
240122016,IV,T5,L7,
240122017,IV,T5,L7,
240123014,III,T5,L7,
240123015,III,T5,L7,
240123016,III,T5,L7,
240150014,IV,T5,L7,
240150015,IV,T5,L7,
240150016,IV,T5,L7,
240151014,I,T5,L2,
240151015,I,T5,L2,
240151016,I,T5,L2,
240101018,III,T6,L7,
240101019,III,T6,L7,
240101020,III,T6,L7,
240101021,III,T6,L7,
240102018,II,T6,L2,
240102020,II,T6,L2,
240102021,II,T6,L2,
240102217,II,T6,L2,
240102218,II,T6,L2,
240102219,II,T6,L2,
240102220,II,T6,L2,
240103018,I,T6,L2,
240103019,I,T6,L2,
240103020,I,T6,L2,
240103021,I,T6,L2,
240103117,I,T6,L2,
240103118,I,T6,L2,
240103119,I,T6,L2,
240104018,I,T6,L2,
240104019,I,T6,L2,
240104020,I,T6,L2,
240104021,I,T6,L2,
240104117,I,T6,L2,
240106018,II,T6,L2,
240106019,II,T6,L2,
240106020,II,T6,L2,
240106021,II,T6,L2,
240107018,IV,T6,L7,
240107019,IV,T6,L7,
240107020,IV,T6,L7,
240107021,IV,T6,L7,
240121018,III,T6,L7,
240121019,III,T6,L7,
240121020,III,T6,L7,
240122018,IV,T6,L7,
240122019,IV,T6,L7,
240122020,IV,T6,L7,
240123017,III,T6,L7,
240123018,III,T6,L7,
240123019,III,T6,L7,
240123020,III,T6,L7,
240150017,IV,T6,L7,
240150018,IV,T6,L7,
240150019,IV,T6,L7,
240150020,IV,T6,L7,
240151017,I,T6,L2,
240151018,I,T6,L2,
240151019,I,T6,L2,
240151020,I,T6,L2,
240101022,III,T7,L7,
240101023,III,T7,L7,
240101024,III,T7,L7,
240101025,III,T7,L7,
240102022,II,T7,L2,
240102023,II,T7,L2,
240102024,II,T7,L2,
240102025,II,T7,L2,
240102221,II,T7,L2,
240102222,II,T7,L2,
240102223,II,T7,L2,
240102224,II,T7,L2,
240102225,II,T7,L2,
240103022,I,T7,L2,
240103023,I,T7,L2,
240103024,I,T7,L2,
240103025,I,T7,L2,
240104022,I,T7,L2,
240104023,I,T7,L2,
240104024,I,T7,L2,
240104025,I,T7,L2,
240106022,II,T7,L2,
240106023,II,T7,L2,
240106024,II,T7,L2,
240106025,II,T7,L2,
240107022,IV,T7,L7,
240107023,IV,T7,L7,
240107024,IV,T7,L7,
240107025,IV,T7,L7,
240121021,III,T7,L7,
240121022,III,T7,L7,
240121023,III,T7,L7,
240121024,III,T7,L7,
240121025,III,T7,L7,
240122021,IV,T7,L7,
240122022,IV,T7,L7,
240122023,IV,T7,L7,
240122024,IV,T7,L7,
240122025,IV,T7,L7,
240123021,III,T7,L7,
240123022,III,T7,L7,
240123023,III,T7,L7,
240123024,III,T7,L7,
240123025,III,T7,L7,
240150021,IV,T7,L7,
240150022,IV,T7,L7,
240150023,IV,T7,L7,
240150024,IV,T7,L7,
240150025,IV,T7,L7,
240101027,III,T8,L7,
240101028,III,T8,L7,
240101029,III,T8,L8,
240101030,III,T8,L8,
240102026,II,T8,L2,
240102027,II,T8,L2,
240102028,II,T8,L2,
240102029,II,T8,L2,
240102030,II,T8,L2,
240102226,II,T8,L2,
240102227,II,T8,L2,
240102228,II,T8,L2,
240102229,II,T8,L2,
240103026,I,T8,L2,
240103027,I,T8,L2,
240103028,I,T8,L2,
240103029,I,T8,L2,
240103030,I,T8,L2,
240104026,I,T8,L2,
240104027,I,T8,L2,
240104028,I,T8,L2,
240104029,I,T8,L3,
240104030,I,T8,L3,
240106026,II,T8,L3,
240106027,II,T8,L3,
240106028,II,T8,L3,
240106029,II,T8,L3,
240106030,II,T8,L3,
240107026,IV,T8,L7,
240107027,IV,T8,L7,
240107028,IV,T8,L7,
240107029,IV,T8,L8,
240107030,IV,T8,L8,
240121026,III,T8,L7,
240121027,III,T8,L7,
240121028,III,T8,L8,
240121029,III,T8,L8,
240122026,IV,T8,L7,
240122027,IV,T8,L7,
240122028,IV,T8,L8,
240122029,IV,T8,L8,
240123026,III,T8,L7,
240123027,III,T8,L7,
240123028,III,T8,L8,
240123029,III,T8,L8,
240150026,IV,T8,L7,
240150027,IV,T8,L7,
240150028,IV,T8,L8,
240150029,IV,T8,L8,
240101031,III,T9,L8,
240101032,III,T9,L8,
240101033,III,T9,L8,
240101034,III,T9,L8,
240102031,II,T9,L3,
240102032,II,T9,L3,
240102033,II,T9,L3,
240102034,II,T9,L3,
240102230,II,T9,L3,
240102231,II,T9,L3,
240102232,II,T9,L3,
240102233,II,T9,L3,
240102234,II,T9,L3,
240103031,I,T9,L3,
240103032,I,T9,L3,
240103033,I,T9,L3,
240103034,I,T9,L3,
240104031,I,T9,L3,
240104032,I,T9,L3,
240104033,I,T9,L3,
240104034,I,T9,L3,
240106031,II,T9,L3,
240106032,II,T9,L3,
240106033,II,T9,L3,
240106034,II,T9,L3,
240107031,IV,T9,L8,
240107032,IV,T9,L8,
240107033,IV,T9,L8,
240107034,IV,T9,L8,
240121030,III,T9,L8,
240121031,III,T9,L8,
240121032,III,T9,L8,
240121033,III,T9,L8,
240121034,III,T9,L8,
240122030,IV,T9,L8,
240122031,IV,T9,L8,
240122032,IV,T9,L8,
240122033,IV,T9,L8,
240122034,IV,T9,L8,
240123030,III,T9,L8,
240123031,III,T9,L8,
240123032,III,T9,L8,
240123033,III,T9,L8,
240123034,III,T9,L8,
240150030,IV,T9,L8,
240150031,IV,T9,L8,
240150032,IV,T9,L8,
240150033,IV,T9,L8,
240150034,IV,T9,L8,
240101035,III,T10,L8,
240101036,III,T10,L8,
240101037,III,T10,L8,
240101038,III,T10,L8,
240101039,III,T10,L8,
240102035,II,T10,L3,
240102036,II,T10,L3,
240102037,II,T10,L3,
240102038,II,T10,L3,
240102039,II,T10,L3,
240102235,II,T10,L3,
240102236,II,T10,L3,
240102237,II,T10,L3,
240102238,II,T10,L3,
